municipality,house_district,house_member,senate_district,senate_member,congressional_district,congress_member
MECHANICSBURG BOROUGH,88,DELOZIER - R,31,REGAN - R,10,PERRY - R
MIDDLESEX TWP,199,GLEIM - R,31,REGAN - R,10,PERRY - R
MONROE TWP,92,KEEFER - R,31,REGAN - R,10,PERRY - R
MOUNT HOLLY SPRINGS BOROUGH,193,ECKER - R,31,REGAN - R,10,PERRY - R
NEW CUMBERLAND BOROUGH,88,DELOZIER - R,31,REGAN - R,10,PERRY - R
NEWBURG BOROUGH,86,M. K. KELLER - R,30,J. WARD - R,13,JOYCE - R
NEWVILLE BOROUGH,199,GLEIM - R,30,J. WARD - R,13,JOYCE - R
NORTH MIDDLETON TWP,199,GLEIM - R,30,J. WARD - R,10,PERRY - R
NORTH MIDDLETON TWP,199,GLEIM - R,30,J. WARD - R,13,JOYCE - R
NORTH NEWTON TWP,193,ECKER - R,30,J. WARD - R,13,JOYCE - R
PENN TWP,193,ECKER - R,30,J. WARD - R,13,JOYCE - R
SHIPPENSBURG BOROUGH,86,M. K. KELLER - R,33,MASTRIANO - R,13,JOYCE - R
SHIPPENSBURG TWP,86,M. K. KELLER - R,33,MASTRIANO - R,13,JOYCE - R
SHIREMANSTOWN BOROUGH,88,DELOZIER - R,31,REGAN - R,10,PERRY - R
SILVER SPRING TWP,87,ROTHMAN - R,31,REGAN - R,10,PERRY - R
SILVER SPRING TWP,199,GLEIM - R,31,REGAN - R,10,PERRY - R
SOUTH MIDDLETON TWP,193,ECKER - R,31,REGAN - R,10,PERRY - R
SOUTH NEWTON TWP,193,ECKER - R,30,J. WARD - R,13,JOYCE - R
SOUTHAMPTON TWP,86,M. K. KELLER - R,33,MASTRIANO - R,13,JOYCE - R
UPPER ALLEN TWP,88,DELOZIER - R,31,REGAN - R,10,PERRY - R
UPPER FRANKFORD TWP,199,GLEIM - R,30,J. WARD - R,13,JOYCE - R
UPPER MIFFLIN TWP,199,GLEIM - R,30,J. WARD - R,13,JOYCE - R
WEST PENNSBORO TWP,199,GLEIM - R,30,J. WARD - R,13,JOYCE - R
WORMLEYSBURG BOROUGH,88,DELOZIER - R,31,REGAN - R,10,PERRY - R
BERRYSBURG BOROUGH,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
CONEWAGO TWP,106,MEHAFFIE - R,48,FOLMER - R,10,PERRY - R
DAUPHIN BOROUGH,104,HELM - R,15,DiSANTO - R,10,PERRY - R
DERRY TWP,106,MEHAFFIE - R,15,DiSANTO - R,10,PERRY - R
EAST HANOVER TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
ELIZABETHVILLE BOROUGH,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
GRATZ BOROUGH,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
HALIFAX BOROUGH,104,HELM - R,15,DiSANTO - R,10,PERRY - R
HALIFAX TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
HARRISBURG CITY,103,KIM - D,15,DiSANTO - R,10,PERRY - R
HIGHSPIRE BOROUGH,103,KIM - D,48,FOLMER - R,10,PERRY - R
HUMMELSTOWN BOROUGH,106,MEHAFFIE - R,15,DiSANTO - R,10,PERRY - R
JACKSON TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
JEFFERSON TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
LONDONDERRY TWP,98,HICKERNELL - R,48,FOLMER - R,10,PERRY - R
LOWER PAXTON TWP,105,LEWIS - R,15,DiSANTO - R,10,PERRY - R
LOWER SWATARA TWP,106,MEHAFFIE - R,48,FOLMER - R,10,PERRY - R
LYKENS BOROUGH,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
LYKENS TWP,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
MIDDLE PAXTON TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
MIDDLETOWN BOROUGH,106,MEHAFFIE - R,48,FOLMER - R,10,PERRY - R
MIFFLIN TWP,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
MILLERSBURG BOROUGH,104,HELM - R,15,DiSANTO - R,10,PERRY - R
PAXTANG BOROUGH,103,KIM - D,48,FOLMER - R,10,PERRY - R
PENBROOK BOROUGH,104,HELM - R,15,DiSANTO - R,10,PERRY - R
PILLOW BOROUGH,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
REED TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
ROYALTON BOROUGH,106,MEHAFFIE - R,48,FOLMER - R,10,PERRY - R
RUSH TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
SOUTH HANOVER TWP,105,LEWIS - R,15,DiSANTO - R,10,PERRY - R
STEELTON BOROUGH,103,KIM - D,48,FOLMER - R,10,PERRY - R
STEELTON BOROUGH,106,MEHAFFIE - R,48,FOLMER - R,10,PERRY - R
SUSQUEHANNA TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
SWATARA TWP,103,KIM - D,48,FOLMER - R,10,PERRY - R
SWATARA TWP,104,HELM - R,48,FOLMER - R,10,PERRY - R
SWATARA TWP,106,MEHAFFIE - R,48,FOLMER - R,10,PERRY - R
UPPER PAXTON TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
WASHINGTON TWP,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
WAYNE TWP,104,HELM - R,15,DiSANTO - R,10,PERRY - R
WEST HANOVER TWP,105,LEWIS - R,15,DiSANTO - R,10,PERRY - R
WEST HANOVER TWP,105,LEWIS - R,15,DiSANTO - R,15,THOMPSON - R
WICONISCO TWP,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
WILLIAMS TWP,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
WILLIAMSTOWN BOROUGH,125,TOBASH - R,15,DiSANTO - R,10,PERRY - R
ALDAN BOROUGH,163,ZABEL - D,26,KEARNEY - D,5,SCANLON - D
ASTON TWP,161,KRUEGER - D,9,KILLION - R,5,SCANLON - D
BETHEL TWP,160,BARRAR - R,9,KILLION - R,5,SCANLON - D
BROOKHAVEN BOROUGH,161,KRUEGER - D,9,KILLION - R,5,SCANLON - D
CHADDS FORD TWP,160,BARRAR - R,9,KILLION - R,5,SCANLON - D
CHESTER CITY,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
CHESTER HEIGHTS BOROUGH,168,QUINN - R,9,KILLION - R,5,SCANLON - D
CHESTER TWP,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
CLIFTON HEIGHTS BOROUGH,163,ZABEL - D,26,KEARNEY - D,5,SCANLON - D
COLLINGDALE BOROUGH,162,DELLOSO - D,8,A. WILLIAMS - D,5,SCANLON - D
COLWYN BOROUGH,185,DONATUCCI - D,8,A. WILLIAMS - D,5,SCANLON - D
CONCORD TWP,160,BARRAR - R,9,KILLION - R,7,WILD - D
DARBY BOROUGH,191,McCLINTON - D,8,A. WILLIAMS - D,5,SCANLON - D
DARBY TWP,162,DELLOSO - D,8,A. WILLIAMS - D,5,SCANLON - D
DARBY TWP,185,DONATUCCI - D,8,A. WILLIAMS - D,5,SCANLON - D
EAST LANSDOWNE BOROUGH,164,DAVIDSON - D,26,KEARNEY - D,5,SCANLON - D
EDDYSTONE BOROUGH,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
EDGMONT TWP,168,QUINN - R,9,KILLION - R,5,SCANLON - D
FOLCROFT BOROUGH,162,DELLOSO - D,8,A. WILLIAMS - D,5,SCANLON - D
GLENOLDEN BOROUGH,162,DELLOSO - D,26,KEARNEY - D,5,SCANLON - D
HAVERFORD TWP,163,ZABEL - D,17,LEACH - D,5,SCANLON - D
HAVERFORD TWP,166,VITALI - D,17,LEACH - D,5,SCANLON - D
LANSDOWNE BOROUGH,164,DAVIDSON - D,8,A. WILLIAMS - D,5,SCANLON - D
LOWER CHICHESTER TWP,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
MARCUS HOOK BOROUGH,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
MARPLE TWP,165,O'MARA - D,26,KEARNEY - D,5,SCANLON - D
MARPLE TWP,168,QUINN - R,26,KEARNEY - D,5,SCANLON - D
MEDIA BOROUGH,168,QUINN - R,26,KEARNEY - D,5,SCANLON - D
MIDDLETOWN TWP,168,QUINN - R,9,KILLION - R,5,SCANLON - D
MILLBOURNE BOROUGH,164,DAVIDSON - D,26,KEARNEY - D,5,SCANLON - D
MORTON BOROUGH,165,O'MARA - D,26,KEARNEY - D,5,SCANLON - D
NETHER PROVIDENCE TWP,161,KRUEGER - D,9,KILLION - R,5,SCANLON - D
NEWTOWN TWP,168,QUINN - R,26,KEARNEY - D,5,SCANLON - D
NORWOOD BOROUGH,162,DELLOSO - D,8,A. WILLIAMS - D,5,SCANLON - D
PARKSIDE BOROUGH,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
PROSPECT PARK BOROUGH,162,DELLOSO - D,26,KEARNEY - D,5,SCANLON - D
RADNOR TWP,165,O'MARA - D,17,LEACH - D,5,SCANLON - D
RADNOR TWP,166,VITALI - D,17,LEACH - D,5,SCANLON - D
RADNOR TWP,165,O'MARA - D,17,LEACH - D,7,WILD - D
RIDLEY PARK BOROUGH,162,DELLOSO - D,26,KEARNEY - D,5,SCANLON - D
RIDLEY TWP,159,KIRKLAND - D,26,KEARNEY - D,5,SCANLON - D
RIDLEY TWP,161,KRUEGER - D,26,KEARNEY - D,5,SCANLON - D
RIDLEY TWP,162,DELLOSO - D,26,KEARNEY - D,5,SCANLON - D
ROSE VALLEY BOROUGH,161,KRUEGER - D,9,KILLION - R,5,SCANLON - D
RUTLEDGE BOROUGH,161,KRUEGER - D,26,KEARNEY - D,5,SCANLON - D
SHARON HILL BOROUGH,185,DONATUCCI - D,8,A. WILLIAMS - D,5,SCANLON - D
SPRINGFIELD TWP,161,KRUEGER - D,26,KEARNEY - D,5,SCANLON - D
SPRINGFIELD TWP,165,O'MARA - D,26,KEARNEY - D,5,SCANLON - D
SWARTHMORE BOROUGH,161,KRUEGER - D,26,KEARNEY - D,5,SCANLON - D
THORNBURY TWP,168,QUINN - R,9,KILLION - R,5,SCANLON - D
TINICUM TWP,162,DELLOSO - D,26,KEARNEY - D,5,SCANLON - D
TRAINER BOROUGH,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
UPLAND BOROUGH,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
UPPER CHICHESTER TWP,159,KIRKLAND - D,9,KILLION - R,5,SCANLON - D
UPPER CHICHESTER TWP,160,BARRAR - R,9,KILLION - R,5,SCANLON - D
UPPER DARBY TWP,164,DAVIDSON - D,26,KEARNEY - D,1,FITZPATRICK - R
UPPER DARBY TWP,163,ZABEL - D,26,KEARNEY - D,5,SCANLON - D
UPPER DARBY TWP,164,DAVIDSON - D,26,KEARNEY - D,5,SCANLON - D
UPPER DARBY TWP,163,ZABEL - D,26,KEARNEY - D,7,WILD - D
UPPER PROVIDENCE TWP,168,QUINN - R,26,KEARNEY - D,5,SCANLON - D
YEADON BOROUGH,164,DAVIDSON - D,8,A. WILLIAMS - D,5,SCANLON - D
YEADON BOROUGH,191,McCLINTON - D,8,A. WILLIAMS - D,5,SCANLON - D
BENEZETTE TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
FOX TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
HIGHLAND TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
HORTON TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
JAY TWP,75,GABLER - R,25,SCARNATI - R,5,SCANLON - D
JOHNSONBURG BOROUGH,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
JONES TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
MILLSTONE TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
RIDGWAY BOROUGH,75,GABLER - R,25,SCARNATI - R,5,SCANLON - D
RIDGWAY BOROUGH,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
RIDGWAY TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
SPRING CREEK TWP,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
ST. MARYS CITY,75,GABLER - R,25,SCARNATI - R,15,THOMPSON - R
ALBION BOROUGH,17,WENTLING - R,49,LAUGHLIN - R,16,KELLY - R
AMITY TWP,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
CONCORD TWP,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
CONNEAUT TWP,17,WENTLING - R,49,LAUGHLIN - R,16,KELLY - R
CORRY CITY,4,SONNEY - R,50,BROOKS - R,5,SCANLON - D
CORRY CITY,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
CRANESVILLE BOROUGH,6,ROAE - R,49,LAUGHLIN - R,16,KELLY - R
EDINBORO BOROUGH,3,BIZZARRO - D,50,BROOKS - R,16,KELLY - R
ELGIN BOROUGH,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
ELK CREEK TWP,6,ROAE - R,50,BROOKS - R,16,KELLY - R
ERIE CITY,1,HARKINS - D,49,LAUGHLIN - R,3,EVANS - D
ERIE CITY,1,HARKINS - D,49,LAUGHLIN - R,16,KELLY - R
ERIE CITY,2,MERSKI - D,49,LAUGHLIN - R,16,KELLY - R
FAIRVIEW TWP,6,ROAE - R,49,LAUGHLIN - R,16,KELLY - R
FRANKLIN TWP,6,ROAE - R,49,LAUGHLIN - R,16,KELLY - R
GIRARD BOROUGH,17,WENTLING - R,49,LAUGHLIN - R,16,KELLY - R
GIRARD TWP,17,WENTLING - R,49,LAUGHLIN - R,16,KELLY - R
GREENE TWP,4,SONNEY - R,49,LAUGHLIN - R,16,KELLY - R
GREENFIELD TWP,4,SONNEY - R,49,LAUGHLIN - R,16,KELLY - R
HARBORCREEK TWP,4,SONNEY - R,49,LAUGHLIN - R,16,KELLY - R
LAKE CITY BOROUGH,17,WENTLING - R,49,LAUGHLIN - R,16,KELLY - R
LAKE ERIE TWP,3,BIZZARRO - D,49,LAUGHLIN - R,16,KELLY - R
LAWRENCE PARK TWP,1,HARKINS - D,49,LAUGHLIN - R,16,KELLY - R
LEBOEUF TWP,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
MCKEAN BOROUGH,3,BIZZARRO - D,49,LAUGHLIN - R,16,KELLY - R
MCKEAN TWP,3,BIZZARRO - D,49,LAUGHLIN - R,16,KELLY - R
MILL VILLAGE BOROUGH,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
MILLCREEK TWP,3,BIZZARRO - D,49,LAUGHLIN - R,5,SCANLON - D
MILLCREEK TWP,2,MERSKI - D,49,LAUGHLIN - R,16,KELLY - R
MILLCREEK TWP,3,BIZZARRO - D,49,LAUGHLIN - R,16,KELLY - R
NORTH EAST BOROUGH,4,SONNEY - R,49,LAUGHLIN - R,16,KELLY - R
NORTH EAST TWP,4,SONNEY - R,49,LAUGHLIN - R,16,KELLY - R
PLATEA BOROUGH,17,WENTLING - R,49,LAUGHLIN - R,16,KELLY - R
SPRINGFIELD TWP,17,WENTLING - R,49,LAUGHLIN - R,16,KELLY - R
SUMMIT TWP,2,MERSKI - D,49,LAUGHLIN - R,16,KELLY - R
UNION CITY BOROUGH,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
UNION TWP,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
VENANGO TWP,4,SONNEY - R,49,LAUGHLIN - R,16,KELLY - R
WASHINGTON TWP,3,BIZZARRO - D,50,BROOKS - R,16,KELLY - R
WATERFORD BOROUGH,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
WATERFORD TWP,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
WATTSBURG BOROUGH,4,SONNEY - R,50,BROOKS - R,16,KELLY - R
WAYNE TWP,4,SONNEY - R,50,BROOKS - R,5,SCANLON - D
WESLEYVILLE BOROUGH,1,HARKINS - D,49,LAUGHLIN - R,16,KELLY - R
BELLE VERNON BOROUGH,49,COOK - R,32,STEFANO - R,14,RESCHENTHALER - R
BROWNSVILLE BOROUGH,50,SNYDER - D,32,STEFANO - R,14,RESCHENTHALER - R
BROWNSVILLE TWP,50,SNYDER - D,32,STEFANO - R,14,RESCHENTHALER - R
BULLSKIN TWP,52,WARNER - R,32,STEFANO - R,14,RESCHENTHALER - R
CONNELLSVILLE CITY,52,WARNER - R,32,STEFANO - R,9,MEUSER - R
CONNELLSVILLE CITY,52,WARNER - R,32,STEFANO - R,14,RESCHENTHALER - R
CONNELLSVILLE TWP,52,WARNER - R,32,STEFANO - R,14,RESCHENTHALER - R
DAWSON BOROUGH,52,WARNER - R,32,STEFANO - R,14,RESCHENTHALER - R
DUNBAR BOROUGH,52,WARNER - R,32,STEFANO - R,14,RESCHENTHALER - R
DUNBAR TWP,52,WARNER - R,32,STEFANO - R,9,MEUSER - R
EVERSON BOROUGH,52,WARNER - R,32,STEFANO - R,14,RESCHENTHALER - R
FAIRCHANCE BOROUGH,51,DOWLING - R,32,STEFANO - R,14,RESCHENTHALER - R
FAYETTE CITY BOROUGH,49,COOK - R,32,STEFANO - R,14,RESCHENTHALER - R
FRANKLIN TWP,49,COOK - R,32,STEFANO - R,14,"RESCHENTHALER -R"
GEORGES TWP,51,DOWLING - R,32,STEFANO - R,9,MEUSER - R
GEORGES TWP,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
GERMAN TWP,51,DOWLING - R,32,STEFANO - R,9,MEUSER - R
GERMAN TWP,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
HENRY CLAY TWP,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
JEFFERSON TWP,49,COOK - R,32,STEFANO - R,9,MEUSER - R
LOWER TYRONE TWP,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
LUZERNE TWP,50,SNYDER - D,32,STEFANO - R,14,"RESCHENTHALER -R"
MARKLEYSBURG BOROUGH,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
MASONTOWN BOROUGH,50,SNYDER - D,32,STEFANO - R,9,MEUSER - R
MENALLEN TWP,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
NEWELL BOROUGH,49,COOK - R,32,STEFANO - R,14,"RESCHENTHALER -R"
NICHOLSON TWP,51,DOWLING - R,32,STEFANO - R,9,MEUSER - R
NORTH UNION TWP,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
OHIOPYLE BOROUGH,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
PERRY TWP,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
PERRYOPOLIS BOROUGH,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
POINT MARION BOROUGH,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
REDSTONE TWP,50,SNYDER - D,32,STEFANO - R,9,MEUSER - R
REDSTONE TWP,50,SNYDER - D,32,STEFANO - R,14,"RESCHENTHALER -R"
SALTLICK TWP,52,WARNER - R,32,STEFANO - R,9,MEUSER - R
SEVEN SPRINGS BOROUGH,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
SMITHFIELD BOROUGH,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
SOUTH CONNELLSVILLE BOROUGH,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
SOUTH UNION TWP,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
SPRINGFIELD TWP,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
SPRINGHILL TWP,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
STEWART TWP,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
UNIONTOWN CITY,51,DOWLING - R,32,STEFANO - R,14,"RESCHENTHALER -R"
LIBERTY TWP,111,FRITZ - R,23,YAW - R,12,MARINO - R
LITTLE MEADOWS BOROUGH,110,PICKETT - R,23,YAW - R,12,MARINO - R
MIDDLETOWN TWP,110,PICKETT - R,23,YAW - R,12,MARINO - R
MONTROSE BOROUGH,111,FRITZ - R,23,YAW - R,12,MARINO - R
NEW MILFORD BOROUGH,111,FRITZ - R,20,BAKER - R,12,MARINO - R
NEW MILFORD TWP,111,FRITZ - R,20,BAKER - R,12,MARINO - R
OAKLAND BOROUGH,111,FRITZ - R,20,BAKER - R,12,MARINO - R
OAKLAND TWP,111,FRITZ - R,20,BAKER - R,12,MARINO - R
RUSH TWP,110,PICKETT - R,23,YAW - R,12,MARINO - R
SILVER LAKE TWP,111,FRITZ - R,23,YAW - R,12,MARINO - R
SPRINGVILLE TWP,110,PICKETT - R,20,BAKER - R,12,MARINO - R
SUSQUEHANNA DEPOT BOROUGH,111,FRITZ - R,20,BAKER - R,10,PERRY - R
THOMPSON BOROUGH,111,FRITZ - R,20,BAKER - R,12,MARINO - R
THOMPSON TWP,111,FRITZ - R,20,BAKER - R,12,MARINO - R
UNIONDALE BOROUGH,111,FRITZ - R,20,BAKER - R,12,MARINO - R
BLOSS TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
BLOSSBURG BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
BROOKFIELD TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
CHARLESTON TWP,68,OWLETT - R,25,SCARNATI - R,10,PERRY - R
CHATHAM TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
CLYMER TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
COVINGTON TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
DEERFIELD TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
DELMAR TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
DUNCAN TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
ELK TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
ELKLAND BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
FARMINGTON TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
GAINES TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
HAMILTON TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
JACKSON TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
KNOXVILLE BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
LAWRENCE TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
LAWRENCEVILLE BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
LIBERTY BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
LIBERTY TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
MANSFIELD BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
MIDDLEBURY TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
MORRIS TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
NELSON TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
OSCEOLA TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
PUTNAM TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
RICHMOND TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
ROSEVILLE BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
RUTLAND TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
SHIPPEN TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
SULLIVAN TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
TIOGA BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
TIOGA TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
UNION TWP,68,OWLETT - R,25,SCARNATI - R,10,PERRY - R
WARD TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
WELLSBORO BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
WESTFIELD BOROUGH,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
WESTFIELD TWP,68,OWLETT - R,25,SCARNATI - R,12,MARINO - R
BUFFALO TWP,85,VACANT,23,YAW - R,12,MARINO - R
EAST BUFFALO TWP,85,VACANT,23,YAW - R,12,MARINO - R
GREGG TWP,84,EVERETT - R,23,YAW - R,12,MARINO - R
HARTLETON BOROUGH,85,VACANT,23,YAW - R,12,MARINO - R
HARTLEY TWP,85,VACANT,23,YAW - R,12,MARINO - R
KELLY TWP,85,VACANT,23,YAW - R,12,MARINO - R
LEWIS TWP,85,VACANT,23,YAW - R,12,MARINO - R
LEWISBURG BOROUGH,85,VACANT,23,YAW - R,12,MARINO - R
LIMESTONE TWP,85,VACANT,23,YAW - R,12,MARINO - R
MIFFLINBURG BOROUGH,85,VACANT,23,YAW - R,12,MARINO - R
NEW BERLIN BOROUGH,85,VACANT,23,YAW - R,12,MARINO - R
UNION TWP,85,VACANT,23,YAW - R,12,MARINO - R
WEST BUFFALO TWP,85,VACANT,23,YAW - R,12,MARINO - R
WHITE DEER TWP,84,EVERETT - R,23,YAW - R,12,MARINO - R
ALLEGHENY TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
BARKEYVILLE BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
CANAL TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
CHERRYTREE TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
CLINTON TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
CLINTONVILLE BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
COOPERSTOWN BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
CORNPLANTER TWP,64,JAMES - R,21,HUTCHINSON - R,5,SCANLON - D
CRANBERRY TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
EMLENTON BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
FRANKLIN CITY,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
FRENCHCREEK TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
IRWIN TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
JACKSON TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
MINERAL TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
OAKLAND TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
OIL CITY CITY,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
OIL CREEK TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
PINEGROVE TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
PLEASANTVILLE BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
PLUM TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
POLK BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
PRESIDENT TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
RICHLAND TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
ROCKLAND TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
ROUSEVILLE BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
SANDYCREEK TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
SCRUBGRASS TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
